Soil Type,Sunlight (hours/day),Water Supply (liters/week),Temperature (Â°C),pH Level,Plant Species,Thrives
Sandy,8,20,22,6.6,Fern,Yes
Sandy,9,26,21,6.4,Lily,Yes
Loamy,4,15,28,6.5,Cactus,Yes
Clay,6,29,30,5.5,Lily,Yes
Clay,4,24,17,5.5,Fern,Yes
Sandy,10,12,27,7.1,Cactus,Yes
Loamy,5,7,22,6.3,Cactus,Yes
Sandy,9,28,21,7.6,Fern,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Sandy,9,26,21,6.4,Lily,Yes
Loamy,6,15,16,5.9,Oak,Yes
Sandy,11,24,26,6.3,Rose,Yes
Clay,12,7,27,6.9,Oak,Yes
Sandy,7,20,29,5.6,Oak,Yes
Clay,11,10,30,6.1,Lily,Yes
Sandy,9,26,21,6.4,Lily,Yes
Sandy,6,5,19,6.2,Oak,Yes
Loamy,10,9,28,6,Oak,Yes
Sandy,11,6,16,7.2,Fern,Yes
Sandy,7,20,29,5.6,Oak,Yes
Clay,4,22,30,7.6,Rose,Yes
Loamy,10,9,28,6,Oak,Yes
Loamy,11,21,23,5.5,Fern,Yes
Sandy,8,20,22,6.6,Fern,Yes
Sandy,4,5,15,6.9,Lily,Yes
Sandy,11,21,24,6,Lily,Yes
Clay,10,22,30,7.9,Rose,Yes
Loamy,6,15,16,5.9,Oak,Yes
Sandy,7,11,24,6,Cactus,Yes
Loamy,12,29,30,5.8,Oak,Yes
Sandy,7,11,24,6,Cactus,Yes
Clay,7,14,26,5.6,Oak,Yes
Clay,12,23,15,6.6,Oak,Yes
Clay,12,7,27,6.9,Oak,Yes
Sandy,11,24,26,6.3,Rose,Yes
Loamy,4,27,15,7.3,Lily,Yes
Sandy,9,26,21,6.4,Lily,Yes
Clay,6,29,30,5.5,Lily,Yes
Sandy,7,20,29,5.6,Oak,Yes
Clay,11,20,20,7.2,Oak,Yes
Sandy,6,5,19,6.2,Oak,Yes
Sandy,4,5,17,6.4,Lily,Yes
Sandy,8,11,28,6.6,Lily,Yes
Sandy,4,24,25,5.9,Lily,Yes
Clay,12,7,27,6.9,Oak,Yes
Clay,11,10,30,6.1,Lily,Yes
Sandy,10,5,15,7.5,Oak,Yes
Loamy,4,15,28,6.5,Cactus,Yes
Sandy,4,5,15,6.9,Lily,Yes
Sandy,4,5,17,6.4,Lily,Yes
Loamy,10,8,25,8,Cactus,Yes
Sandy,4,24,25,5.9,Lily,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Sandy,9,28,21,7.6,Fern,Yes
Loamy,4,15,28,6.5,Cactus,Yes
Clay,4,24,17,5.5,Fern,Yes
Sandy,4,13,15,7.6,Rose,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Sandy,11,21,24,6,Lily,Yes
Loamy,5,7,22,6.3,Cactus,Yes
Sandy,4,24,25,5.9,Lily,Yes
Loamy,6,15,16,5.9,Oak,Yes
Loamy,4,15,28,6.5,Cactus,Yes
Clay,7,7,26,6.5,Rose,Yes
Loamy,11,21,23,5.5,Fern,Yes
Sandy,4,5,17,6.4,Lily,Yes
Loamy,6,15,16,5.9,Oak,Yes
Loamy,4,24,17,7.1,Lily,Yes
Clay,6,26,20,5.7,Lily,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Sandy,10,12,27,7.1,Cactus,Yes
Sandy,6,5,19,6.2,Oak,Yes
Sandy,4,13,15,7.6,Rose,Yes
Sandy,4,5,17,6.4,Lily,Yes
Clay,12,10,20,6.4,Lily,Yes
Sandy,11,21,24,6,Lily,Yes
Loamy,10,9,28,6,Oak,Yes
Sandy,8,20,22,6.6,Fern,Yes
Loamy,10,8,25,8,Cactus,Yes
Clay,6,9,25,5.7,Cactus,Yes
Clay,12,10,20,6.4,Lily,Yes
Clay,4,24,17,5.5,Fern,Yes
Loamy,10,8,25,8,Cactus,Yes
Clay,8,24,30,7.1,Cactus,Yes
Clay,10,22,30,7.9,Rose,Yes
Clay,11,10,30,6.1,Lily,Yes
Loamy,4,15,28,6.5,Cactus,Yes
Clay,6,9,25,5.7,Cactus,Yes
Loamy,12,5,19,7.8,Lily,Yes
Sandy,4,5,15,6.9,Lily,Yes
Sandy,11,24,26,6.3,Rose,Yes
Loamy,10,8,25,8,Cactus,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Loamy,10,9,28,6,Oak,Yes
Loamy,4,24,17,7.1,Lily,Yes
Sandy,11,6,16,7.2,Fern,Yes
Clay,7,7,26,6.5,Rose,Yes
Clay,10,7,21,6.2,Lily,Yes
Loamy,11,21,23,5.5,Fern,Yes
Clay,12,7,27,6.9,Oak,Yes
Clay,4,22,30,7.6,Rose,Yes
Loamy,12,5,19,7.8,Lily,Yes
Sandy,10,5,15,7.5,Oak,Yes
Loamy,12,5,19,7.8,Lily,Yes
Sandy,8,20,22,6.6,Fern,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Loamy,10,9,28,6,Oak,Yes
Clay,12,23,15,6.6,Oak,Yes
Sandy,10,5,15,7.5,Oak,Yes
Loamy,11,21,23,5.5,Fern,Yes
Sandy,6,5,19,6.2,Oak,Yes
Clay,7,14,26,5.6,Oak,Yes
Sandy,8,11,28,6.6,Lily,Yes
Loamy,4,24,17,7.1,Lily,Yes
Loamy,10,9,28,6,Oak,Yes
Clay,12,7,27,6.9,Oak,Yes
Clay,12,10,20,6.4,Lily,Yes
Clay,7,7,26,6.5,Rose,Yes
Clay,6,26,20,5.7,Lily,Yes
Sandy,4,13,15,7.6,Rose,Yes
Clay,12,23,15,6.6,Oak,Yes
Clay,6,9,25,5.7,Cactus,Yes
Clay,10,22,30,7.9,Rose,Yes
Clay,6,24,19,5.9,Fern,Yes
Loamy,11,21,23,5.5,Fern,Yes
Loamy,10,9,28,6,Oak,Yes
Sandy,7,20,29,5.6,Oak,Yes
Clay,12,7,27,6.9,Oak,Yes
Clay,4,24,17,5.5,Fern,Yes
Sandy,8,11,28,6.6,Lily,Yes
Clay,6,24,19,5.9,Fern,Yes
Sandy,4,5,17,6.4,Lily,Yes
Sandy,10,5,15,7.5,Oak,Yes
Loamy,4,24,17,7.1,Lily,Yes
Sandy,7,11,24,6,Cactus,Yes
Loamy,11,21,23,5.5,Fern,Yes
Clay,6,29,30,5.5,Lily,Yes
Clay,12,10,20,6.4,Lily,Yes
Clay,10,7,21,6.2,Lily,Yes
Sandy,4,24,25,5.9,Lily,Yes
Loamy,6,15,16,5.9,Oak,Yes
Clay,4,22,30,7.6,Rose,Yes
Sandy,10,5,15,7.5,Oak,Yes
Clay,11,10,30,6.1,Lily,Yes
Sandy,4,24,25,5.9,Lily,Yes
Sandy,11,21,24,6,Lily,Yes
Loamy,10,8,25,8,Cactus,Yes
Sandy,4,5,15,6.9,Lily,Yes
Loamy,12,5,19,7.8,Lily,Yes
Clay,7,7,26,6.5,Rose,Yes
Clay,9,8,24,7.1,Cactus,Yes
Loamy,10,9,28,6,Oak,Yes
Clay,6,24,19,5.9,Fern,Yes
Sandy,7,20,29,5.6,Oak,Yes
Clay,4,22,30,7.6,Rose,Yes
Clay,10,22,30,7.9,Rose,Yes
Sandy,4,13,15,7.6,Rose,Yes
Loamy,4,15,28,6.5,Cactus,Yes
Sandy,9,26,21,6.4,Lily,Yes
Sandy,4,5,15,6.9,Lily,Yes
Loamy,11,21,23,5.5,Fern,Yes
Clay,12,23,15,6.6,Oak,Yes
Clay,7,14,26,5.6,Oak,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Sandy,11,21,24,6,Lily,Yes
Sandy,4,5,17,6.4,Lily,Yes
Clay,12,7,27,6.9,Oak,Yes
Clay,6,29,30,5.5,Lily,Yes
Sandy,8,20,22,6.6,Fern,Yes
Sandy,8,11,28,6.6,Lily,Yes
Sandy,4,5,15,6.9,Lily,Yes
Clay,12,7,27,6.9,Oak,Yes
Loamy,10,8,25,8,Cactus,Yes
Sandy,4,5,15,6.9,Lily,Yes
Loamy,4,24,17,7.1,Lily,Yes
Clay,6,9,25,5.7,Cactus,Yes
Loamy,10,9,28,6,Oak,Yes
Loamy,11,21,23,5.5,Fern,Yes
Clay,7,14,26,5.6,Oak,Yes
Loamy,10,29,22,7.7,Cactus,Yes
Sandy,10,12,27,7.1,Cactus,Yes
Loamy,12,5,19,7.8,Lily,Yes
Sandy,7,20,29,5.6,Oak,Yes
Sandy,4,5,15,6.9,Lily,Yes
Loamy,12,29,30,5.8,Oak,Yes
Loamy,10,8,25,8,Cactus,Yes
Sandy,10,12,27,7.1,Cactus,Yes
Clay,11,10,30,6.1,Lily,Yes
Sandy,4,5,15,6.9,Lily,Yes
Loamy,12,29,30,5.8,Oak,Yes
Sandy,6,5,19,6.2,Oak,Yes
Sandy,11,21,24,6,Lily,Yes
Sandy,4,24,25,5.9,Lily,Yes
Sandy,8,20,22,6.6,Fern,Yes
Clay,9,8,24,7.1,Cactus,Yes
Loamy,12,29,30,5.8,Oak,Yes
Clay,6,29,30,5.5,Lily,Yes
Sandy,9,26,21,6.4,Lily,Yes
Clay,4,24,17,5.5,Fern,Yes
Clay,4,24,17,5.5,Fern,Yes
Loamy,10,8,25,8,Cactus,Yes
Sandy,10,5,15,7.5,Oak,Yes
Clay,4,24,17,5.5,Fern,Yes
Clay,9,8,24,7.1,Cactus,Yes
Sandy,8,20,22,6.6,Fern,Yes
Sandy,11,21,24,6,Lily,Yes
Clay,12,7,27,6.9,Oak,Yes
Clay,11,20,20,7.2,Oak,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Sandy,11,21,24,6,Lily,Yes
Clay,12,23,15,6.6,Oak,Yes
Clay,12,7,27,6.9,Oak,Yes
Loamy,4,24,17,7.1,Lily,Yes
Clay,9,8,24,7.1,Cactus,Yes
Sandy,4,13,17,6.8,Rose,Yes
Clay,12,7,27,6.9,Oak,Yes
Sandy,10,5,15,7.5,Oak,Yes
Sandy,11,21,24,6,Lily,Yes
Sandy,8,20,22,6.6,Fern,Yes
Loamy,10,8,25,8,Cactus,Yes
Sandy,4,13,17,6.8,Rose,Yes
Sandy,4,5,15,6.9,Lily,Yes
Sandy,6,23,15,5.6,Oak,Yes
Clay,7,14,26,5.6,Oak,Yes
Sandy,7,20,29,5.6,Oak,Yes
Sandy,6,5,19,6.2,Oak,Yes
Loamy,10,9,28,6,Oak,Yes
Loamy,12,5,19,7.8,Lily,Yes
Clay,8,24,30,7.1,Cactus,Yes
Clay,11,20,20,7.2,Oak,Yes
Clay,7,7,26,6.5,Rose,Yes
Sandy,8,11,28,6.6,Lily,Yes
Loamy,10,9,28,6,Oak,Yes
Sandy,7,11,24,6,Cactus,Yes
Sandy,8,11,28,6.6,Lily,Yes
Sandy,9,28,21,7.6,Fern,Yes
Sandy,6,23,15,5.6,Oak,Yes
Sandy,10,12,27,7.1,Cactus,Yes
Loamy,10,8,25,8,Cactus,Yes
Sandy,11,21,24,6,Lily,Yes
Sandy,6,5,19,6.2,Oak,Yes
Clay,6,24,19,5.9,Fern,Yes
Clay,10,7,21,6.2,Lily,Yes
Clay,6,29,30,5.5,Lily,Yes
Sandy,9,26,21,6.4,Lily,Yes
Sandy,7,20,29,5.6,Oak,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Clay,6,29,30,5.5,Lily,Yes
Clay,6,26,20,5.7,Lily,Yes
Clay,11,10,30,6.1,Lily,Yes
Clay,10,22,30,7.9,Rose,Yes
Sandy,10,5,15,7.5,Oak,Yes
Loamy,4,24,17,7.1,Lily,Yes
Sandy,6,23,15,5.6,Oak,Yes
Sandy,9,26,21,6.4,Lily,Yes
Clay,12,7,27,6.9,Oak,Yes
Sandy,7,11,24,6,Cactus,Yes
Sandy,9,26,21,6.4,Lily,Yes
Loamy,5,7,22,6.3,Cactus,Yes
Clay,6,29,30,5.5,Lily,Yes
Loamy,5,7,22,6.3,Cactus,Yes
Loamy,11,21,23,5.5,Fern,Yes
Sandy,4,24,25,5.9,Lily,Yes
Clay,6,26,20,5.7,Lily,Yes
Clay,12,10,20,6.4,Lily,Yes
Sandy,8,11,28,6.6,Lily,Yes
Loamy,10,8,25,8,Cactus,Yes
Clay,12,23,15,6.6,Oak,Yes
Sandy,4,5,17,6.4,Lily,Yes
Loamy,4,15,28,6.5,Cactus,Yes
Sandy,9,26,21,6.4,Lily,Yes
Loamy,12,29,30,5.8,Oak,Yes
Sandy,7,11,24,6,Cactus,Yes
Clay,8,24,30,7.1,Cactus,Yes
Clay,12,10,20,6.4,Lily,Yes
Clay,12,10,20,6.4,Lily,Yes
Sandy,11,6,16,7.2,Fern,Yes
Clay,12,10,20,6.4,Lily,Yes
Sandy,9,26,21,6.4,Lily,Yes
Loamy,5,7,22,6.3,Cactus,Yes
Clay,8,24,30,7.1,Cactus,Yes
Clay,6,24,19,5.9,Fern,Yes
Clay,4,24,17,5.5,Fern,Yes
Clay,11,20,20,7.2,Oak,Yes
Sandy,7,11,24,6,Cactus,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Loamy,4,27,15,7.3,Lily,Yes
Clay,6,24,19,5.9,Fern,Yes
Sandy,8,11,28,6.6,Lily,Yes
Clay,6,29,30,5.5,Lily,Yes
Clay,9,8,24,7.1,Cactus,Yes
Sandy,6,5,19,6.2,Oak,Yes
Sandy,4,5,15,6.9,Lily,Yes
Loamy,6,15,16,5.9,Oak,Yes
Sandy,8,11,28,6.6,Lily,Yes
Loamy,12,5,19,7.8,Lily,Yes
Loamy,10,29,22,7.7,Cactus,Yes
Sandy,10,5,15,7.5,Oak,Yes
Loamy,4,15,28,6.5,Cactus,Yes
Sandy,11,24,26,6.3,Rose,Yes
Sandy,7,20,29,5.6,Oak,Yes
Clay,10,22,30,7.9,Rose,Yes
Loamy,4,24,17,7.1,Lily,Yes
Loamy,10,29,22,7.7,Cactus,Yes
Loamy,10,29,22,7.7,Cactus,Yes
Clay,6,9,25,5.7,Cactus,Yes
Sandy,7,11,24,6,Cactus,Yes
Clay,11,10,30,6.1,Lily,Yes
Clay,6,24,19,5.9,Fern,Yes
Loamy,12,29,30,5.8,Oak,Yes
Clay,6,26,20,5.7,Lily,Yes
Sandy,4,13,17,6.8,Rose,Yes
Sandy,7,20,29,5.6,Oak,Yes
Sandy,8,11,28,6.6,Lily,Yes
Clay,8,24,30,7.1,Cactus,Yes
Loamy,4,15,28,6.5,Cactus,Yes
Sandy,8,11,28,6.6,Lily,Yes
Clay,6,29,30,5.5,Lily,Yes
Sandy,4,5,17,6.4,Lily,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Sandy,8,11,28,6.6,Lily,Yes
Clay,6,29,30,5.5,Lily,Yes
Sandy,8,11,28,6.6,Lily,Yes
Sandy,9,26,21,6.4,Lily,Yes
Loamy,10,9,28,6,Oak,Yes
Loamy,6,15,16,5.9,Oak,Yes
Sandy,8,20,22,6.6,Fern,Yes
Sandy,7,20,29,5.6,Oak,Yes
Clay,11,20,20,7.2,Oak,Yes
Clay,6,26,20,5.7,Lily,Yes
Loamy,12,29,30,5.8,Oak,Yes
Clay,4,24,17,5.5,Fern,Yes
Sandy,6,23,15,5.6,Oak,Yes
Sandy,6,5,19,6.2,Oak,Yes
Sandy,8,20,22,6.6,Fern,Yes
Sandy,4,5,15,6.9,Lily,Yes
Loamy,4,15,28,6.5,Cactus,Yes
Clay,10,7,21,6.2,Lily,Yes
Sandy,11,6,16,7.2,Fern,Yes
Clay,10,22,30,7.9,Rose,Yes
Loamy,12,5,19,7.8,Lily,Yes
Loamy,10,29,22,7.7,Cactus,Yes
Sandy,8,20,22,6.6,Fern,Yes
Loamy,12,29,30,5.8,Oak,Yes
Sandy,11,24,26,6.3,Rose,Yes
